k,P[u<k],G(k)
-3.99,3.3036647629402356e-05,3.9900074687524247
-3.98,3.4457634115052966e-05,3.980007806176647
-3.97,3.593631590285376e-05,3.9700081580974165
-3.96,3.7474881691073315e-05,3.960008525102569
-3.95,3.9075596597787456e-05,3.9500089078022054
-3.94,4.0740804558550594e-05,3.9400093068294693
-3.93,4.247293078876114e-05,3.930009722841348
-3.92,4.427448431207063e-05,3.9200101565194996
-3.91,4.614806055620875e-05,3.9100106085711
-3.90,4.8096344017602614e-05,3.9000110797297247
-3.89,5.012211099618835e-05,3.890011570756248
-3.88,5.222823240182007e-05,3.880012082439782
-3.87,5.4417676633699595e-05,3.870012615598628
-3.86,5.669351253425653e-05,3.8600131710812753
-3.85,5.9058912418922374e-05,3.8500137497674127
-3.84,6.151715518325501e-05,3.840014352568988
-3.83,6.407162948887441e-05,3.8300149804312764
-3.82,6.67258370296845e-05,3.820015634334008
-3.81,6.948339587986502e-05,3.8100163152925077
-3.80,7.234804392511979e-05,3.8000170243588762
-3.79,7.532364237868319e-05,3.790017762623207
-3.78,7.841417938358485e-05,3.780018531214838
-3.77,8.162377370268604e-05,3.7700193313036374
-3.76,8.495667849799767e-05,3.7600201641013316
-3.75,8.841728520080377e-05,3.750021030862864
-3.74,9.201012747410539e-05,3.740021932887805
-3.73,9.57398852689142e-05,3.7300228715217827
-3.72,9.961138897591648e-05,3.720023848157979
-3.71,0.00010362962367403115,3.7100248642386475
-3.70,0.00010779973347738823,3.7000259212566844
-3.69,0.0001121270259822469,3.690027020757241
-3.68,0.00011661697681536813,3.680028164339379
-3.67,0.00012127523428535768,3.67002935365778
-3.66,0.00012610762413848634,3.660030590424486
-3.65,0.00013112015442048433,3.6500318764107096
-3.64,0.00013631902044580163,3.6400332134486724
-3.63,0.00014171060987581868,3.6300346034335083
-3.62,0.00014730150790747234,3.6200360483252094
-3.61,0.0001530985025737548,3.6100375501506323
-3.60,0.00015910859015753364,3.6000391110055467
-3.59,0.0001653389807201092,3.5900407330567536
-3.58,0.0001717971037459305,3.5800424185442443
-3.57,0.0001784906139048469,3.5700441697834266
-3.56,0.0001854273969332777,3.5600459891674054
-3.55,0.00019261557563563279,3.5500478791693237
-3.54,0.0002000635160073201,3.5400498423447626
-3.53,0.000207779833480621,3.530051881334206
-3.52,0.00021577339929471735,3.5200539988655644
-3.51,0.00022405334699109253,3.510056197756769
-3.50,0.00023262907903552502,3.500058480918421
-3.49,0.00024151027356783604,3.490060851356526
-3.48,0.0002507068912805372,3.4800633121752718
-3.47,0.0002602291824274667,3.4700658665798967
-3.46,0.0002700876939634741,3.4600685178796207
-3.45,0.00028029327681617744,3.4500712694906457
-3.44,0.0002908570932907428,3.4400741249392337
-3.43,0.0003017906246086367,3.430077087864858
-3.42,0.00031310567858119963,3.4200801620234307
-3.41,0.00032481439741887747,3.410083351290608
-3.40,0.0003369292656768799,3.400086659665172
-3.39,0.0003494631183379709,3.3900900912724965
-3.38,0.0003624291490330427,3.380093650368091
-3.37,0.0003758409184000827,3.3700973413412307
-3.36,0.0003897123625820309,3.3601011687186664
-3.35,0.0004040578018640207,3.3501051371684225
-3.34,0.0004188919494503691,3.3401092515036863
-3.33,0.0004342299203816554,3.330113516686777
-3.32,0.00045008724059211654,3.3201179378332113
-3.31,0.0004664798561075491,3.3101225202158586
-3.30,0.00048342414238377663,3.3001272692691876
-3.29,0.0005009369137857222,3.290132190593607
-3.28,0.0005190354332069723,3.2801372899599057
-3.27,0.0005377374218296939,3.2701425733137834
-3.26,0.0005570610690246214,3.260148046780484
-3.25,0.0005770250423907659,3.2501537166695296
-3.24,0.0005976484979344157,3.2401595894795503
-3.23,0.0006189510903868344,3.230165671903222
-3.22,0.0006409529836600545,3.2201719708323036
-3.21,0.0006636748614399672,3.2101784933627844
-3.20,0.0006871379379158471,3.2001852468001344
-3.19,0.0007113639686453621,3.1901922386646624
-3.18,0.0007363752615539298,3.1801994766969854
-3.17,0.0007621946880672346,3.170206968863608
-3.16,0.0007888456943755722,3.160214723362614
-3.15,0.0008163523128285604,3.15022274862947
-3.14,0.0008447391734586265,3.1402310533429434
-3.13,0.000874031515631565,3.1302396464311415
-3.12,0.0009042551998223395,3.1202485370776594
-3.11,0.0009354367195140976,3.1102577347278513
-3.10,0.0009676032132183563,3.100267249095223
-3.09,0.0010007824766140087,3.09027709016794
-3.08,0.0010350029748028417,3.0802872682154625
-3.07,0.0010702938546789226,3.0702977937952984
-3.06,0.001106684957409247,3.0603086777598865
-3.05,0.0011442068310226977,3.050319931263603
-3.04,0.0011828907431044046,3.0403315657698875
-3.03,0.0012227686935922595,3.03034359305851
-3.02,0.0012638734276722973,3.020356025232954
-3.01,0.0013062384487694653,3.0103688747279347
-3.00,0.0013498980316300933,3.0003821543170477
-2.99,0.0013948872354922468,2.9903958771205486
-2.98,0.0014412419173400108,2.980410056613261
-2.97,0.0014889987452374632,2.970424706632624
-2.96,0.0015381952117380577,2.9604398413868678
-2.95,0.0015888696473648667,2.950455475463328
-2.94,0.0016410612341569934,2.9404716238368898
-2.93,0.0016948100192772598,2.930488301878574
-2.92,0.0017501569286760992,2.920505525364257
-2.91,0.0018071437808064273,2.910523310483523
-2.90,0.0018658133003840339,2.9005416738486627
-2.89,0.0019262091321878587,2.8905606325038007
-2.88,0.0019883758548943256,2.88058020393417
-2.87,0.0020523589949397536,2.8706004060755164
-2.86,0.0021182050404046173,2.8606212573236456
-2.85,0.0021859614549132405,2.8506427765441114
-2.84,0.0022556766915423202,2.8406649830820387
-2.83,0.0023274002067315515,2.830687896772091
-2.82,0.0024011824741892477,2.8207115379485668
-2.81,0.0024770749987858567,2.8107359274556494
-2.80,0.002555130330427929,2.800761086657782
-2.79,0.0026354020779049527,2.7907870374501917
-2.78,0.002717944922701255,2.780813802269544
-2.77,0.0028028146327650225,2.770841404104741
-2.76,0.0028900680762261443,2.7608698665078535
-2.75,0.002979763235054555,2.750899213605191
-2.74,0.003071959218650488,2.7409294701085103
-2.73,0.003166716277357788,2.7309606613263533
-2.72,0.003264095815891309,2.720992813175527
-2.71,0.0033641604066691933,2.7110259521927134
-2.70,0.0034669738030406647,2.701060105546213
-2.69,0.0035726009523997324,2.691095301047817
-2.68,0.00368110800917498,2.6811315671648166
-2.67,0.0037925623476854887,2.6711689330321358
-2.66,0.003907032574852774,2.661207428464594
-2.65,0.004024588542758303,2.651247083969296
-2.64,0.004145301361036037,2.6412879307581427
-2.63,0.004269243409089351,2.631330000760473
-2.62,0.004396488348121309,2.6213733266358172
-2.61,0.004527111132967318,2.611417941786777
-2.60,0.004661188023718747,2.601463880372017
-2.59,0.004798796597126178,2.5915111773193784
-2.58,0.004940015757770645,2.581559868339101
-2.57,0.005084925748991031,2.571609989937153
-2.56,0.00523360816355578,2.5616615794286752
-2.55,0.005386145954066684,2.5517146749515254
-2.54,0.005542623443082601,2.541769315479931
-2.53,0.005703126332950689,2.5318255408382355
-2.52,0.005867741715332557,2.5218833917147436
-2.51,0.006036558080412654,2.5119429096756614
-2.50,0.006209665325776132,2.5020041371791284
-2.49,0.006387154764943171,2.492067117589331
-2.48,0.006569119135546751,2.4821318951907063
-2.47,0.006755652607140648,2.4721985152022192
-2.46,0.006946850788624312,2.462267023791721
-2.45,0.007142810735271415,2.4523374680903807
-2.44,0.0073436309553483355,2.442409896207176
-2.43,0.007549411416309199,2.432484357243461
-2.42,0.0077602535505536425,2.4225609013075826
-2.41,0.007976260260733725,2.412639579529561
-2.40,0.008197535924596114,2.4027204440758125
-2.39,0.008424186399345685,2.3928035481639243
-2.38,0.008656319025516543,2.382888946077472
-2.37,0.008894042630336772,2.372976693180865
-2.36,0.00913746753057266,2.3630668459342314
-2.35,0.009386705534838566,2.353159461908324
-2.34,0.00964186994535833,2.343254599799449
-2.33,0.009903075559164245,2.3333523194444092
-2.32,0.010170438668719667,2.323452681835452
-2.31,0.01044407706195107,2.3135557491352303
-2.30,0.010724110021675795,2.303661584691747
-2.29,0.011010658324411388,2.2937702530533075
-2.28,0.01130384423855278,2.2838818199834408
-2.27,0.011603791521903512,2.273996352475811
-2.26,0.011910625418547052,2.2641139187690924
-2.25,0.012224472655044696,2.254234588361817
-2.24,0.012545461435946563,2.2443584320271777
-2.23,0.012873721438602007,2.234485521827779
-2.22,0.01320938380725627,2.2246159311303404
-2.21,0.013552581146419983,2.2147497346203306
-2.20,0.013903447513498595,2.204887008316535
-2.19,0.014262118410668849,2.195027829585542
-2.18,0.014628730775989246,2.18517227715615
-2.17,0.015003422973732207,2.1753204311336782
-2.16,0.015386334783925445,2.1654723730141767
-2.15,0.015777607391090485,2.1556281856985264
-2.14,0.01617738337216608,2.145787953506425
-2.13,0.01658580668360501,2.1359517621902517
-2.12,0.017003022647632787,2.126119698948789
-2.11,0.01742917793765706,2.1162918524408094
-2.10,0.017864420562816542,2.1064683127985124
-2.09,0.01830889985165897,2.0966491716408
-2.08,0.01876276643493775,2.086834522086384
-2.07,0.01922617222751726,2.0770244587667226
-2.06,0.019699270409376867,2.067219077838761
-2.05,0.020182215405704383,2.057418476997489
-2.04,0.020675162866070042,2.047622755488288
-2.03,0.02117826964267226,2.0378320141190667
-2.02,0.02169169376764676,2.0280463552721746
-2.01,0.022215594429431457,2.0182658829160833
-2.00,0.022750131948179195,2.0084907026168297
-1.99,0.023295467750211803,1.9987209215492043
-1.98,0.023851764341508513,1.9889566485076813
-1.97,0.024419185280222525,1.9791979939170787
-1.96,0.024997895148220435,1.9694450698429393
-1.95,0.02558805952163861,1.959697990001621
-1.94,0.02618984494045265,1.949956869770087
-1.93,0.02680341887705495,1.9402218261953892
-1.92,0.027428949703836795,1.9304929780038322
-1.91,0.028066606659772484,1.920770445609804
-1.90,0.028716559816001783,1.9110543511242737
-1.89,0.029378980040409418,1.9013448183629333
-1.88,0.03005403896119975,1.8916419728539893
-1.87,0.030741908929465954,1.881945941845573
-1.86,0.03144276298075267,1.8722568543127835
-1.85,0.03215677479561371,1.8625748409643326
-1.84,0.032884118659163866,1.8529000342487958
-1.83,0.0336249694196283,1.8432325683604478
-1.82,0.03437950244588998,1.833572579244688
-1.81,0.03514789358403879,1.8239202046030238
-1.80,0.03593031911292576,1.8142755838976279
-1.79,0.03672695569872628,1.8046388583554342
-1.78,0.03753798034851676,1.7950101709717834
-1.77,0.03836357036287122,1.7853896665135927
-1.76,0.039203903287482626,1.775777491522053
-1.75,0.040059156863817086,1.7661737943148317
-1.74,0.040929508978807344,1.7565787249877811
-1.73,0.04181513761359493,1.746992435416136
-1.72,0.04271622079132892,1.737415079255197
-1.71,0.0436329365240319,1.7278468119404862
-1.70,0.044565462758543006,1.718287790687364
-1.69,0.045513977321549805,1.7087381744901047
-1.68,0.04647865786372002,1.6991981241204182
-1.67,0.04745968180294726,1.6896678021254021
-1.66,0.04845722626672279,1.680147372824931
-1.65,0.049471468033648054,1.670637002308459
-1.64,0.05050258347410371,1.6611368584312343
-1.63,0.05155074849008931,1.6516471108099182
-1.62,0.05261613845425206,1.6421679308175956
-1.61,0.05369892814811966,1.632699491578175
-1.60,0.054799291699557974,1.6232419679601628
-1.59,0.055917402519469424,1.6137955365698142
-1.58,0.057053433237754185,1.6043603757436409
-1.57,0.05820755563855298,1.5949366655402792
-1.56,0.05937994059479304,1.585524587731705
-1.55,0.06057075800205899,1.5761243257937945
-1.54,0.061780176711811886,1.5667360648962116
-1.53,0.06300836446397841,1.5573599918916363
-1.52,0.06425548781893582,1.5479962953043056
-1.51,0.0655217120889165,1.538645165317878
-1.50,0.06680720126885807,1.5293067937626048
-1.49,0.06811211796672541,1.5199813741018104
-1.48,0.06943662333333173,1.5106691014176714
-1.47,0.0707808769916855,1.5013701723962936
-1.46,0.07214503696589378,1.4920847853120767
-1.45,0.0735292596096483,1.4828131400113702
-1.44,0.07493369953432708,1.4735554378954077
-1.43,0.07635850953673907,1.4643118819025256
-1.42,0.07780384052654632,1.455082676489652
-1.41,0.07926984145339239,1.4458680276130726
-1.40,0.08075665923377101,1.4366681427084658
-1.39,0.08226443867766897,1.4274832306702019
-1.38,0.08379332241501425,1.4183135018299142
-1.37,0.08534345082196698,1.409159167934326
-1.36,0.08691496194708503,1.4000204421223477
-1.35,0.08850799143740196,1.3908975389014269
-1.34,0.09012267246445238,1.3817906741231682
-1.33,0.09175913565028077,1.3727000649582035
-1.32,0.09341750899347179,1.3636259298703313
-1.31,0.09509791779523902,1.3545684885899092
-1.30,0.09680048458561019,1.3455279620865144
-1.29,0.09852532904974787,1.3365045725408582
-1.28,0.100272567954442,1.3274985433159767
-1.27,0.10204231507481915,1.3185100989276735
-1.26,0.1038346811213004,1.309539465014242
-1.25,0.10564977366685535,1.3005868683054527
-1.24,0.10748769707458689,1.2916525365908178
-1.23,0.10934855242569191,1.2827366986871287
-1.22,0.11123243744783462,1.273839584405282
-1.21,0.11313944644397739,1.2649614245163867
-1.20,0.11506967022170828,1.2561024507171632
-1.19,0.11702319602310873,1.247262895594637
-1.18,0.11900010745520073,1.2384429925901392
-1.17,0.12100048442101807,1.2296429759626064
-1.16,0.12302440305134338,1.2208630807512013
-1.15,0.1250719356371502,1.2121035427372522
-1.14,0.12714315056279818,1.2033645984055186
-1.13,0.12923811224001774,1.1946464849047955
-1.12,0.1313568810427307,1.1859494400078596
-1.11,0.13349951324274717,1.1772737020707704
-1.10,0.13566606094638267,1.1686195099915295
-1.09,0.13785657203203544,1.1599871031681148
-1.08,0.140071090088769,1.1513767214558908
-1.07,0.14230965435593923,1.142788605124415
-1.06,0.1445722996639096,1.1342229948136417
-1.05,0.14685905637589586,1.1256801314895426
-1.04,0.1491699503309814,1.1171602563991456
-1.03,0.15150500278834367,1.108663611025018
-1.02,0.15386423037273478,1.1001904370391902
-1.01,0.1562476450212545,1.0917409762565466
-1.00,0.15865525393145707,1.0833154705876864
-0.99,0.1610870595108309,1.074914161991277
-0.98,0.16354305932769236,1.0665372924259042
-0.97,0.16602324606352953,1.0581851038014423
-0.96,0.16852760746683781,1.0498578379299528
-0.95,0.17105612630848183,1.0415557364761314
-0.94,0.1736087803386246,1.0332790409073132
-0.93,0.17618554224525784,1.0250279924430592
-0.92,0.17878637961437172,1.0168028320043312
-0.91,0.1814112548917972,1.0086038001622828
-0.90,0.18406012534675936,1.0004311370866716
-0.89,0.18673294303717258,0.9922850824939189
-0.88,0.1894296547767121,0.9841658755948317
-0.87,0.19215020210369615,0.9760737550420007
-0.86,0.19489452125180823,0.9680089588769017
-0.85,0.19766254312269238,0.959971724476708
-0.84,0.20045419326044955,0.9519622885008432
-0.83,0.2032693918280684,0.9439808868372835
-0.82,0.20610805358581297,0.9360277545486408
-0.81,0.2089700878716016,0.928103125818031
-0.80,0.21185539858339658,0.9202072338947656
-0.79,0.21476388416363712,0.912340311039868
-0.78,0.217695437585733,0.9045025884714537
-0.77,0.22064994634264962,0.8966942963099754
-0.76,0.22362729243759938,0.8889156635233773
-0.75,0.2266273523768682,0.8811669178721533
-0.74,0.22964999716479056,0.8734482858543553
-0.73,0.2326950923008974,0.8657599926505548
-0.72,0.23576249777925112,0.8581022620687921
-0.71,0.2388520680899867,0.8504753164895256
-0.70,0.24196365222307298,0.8428793768106102
-0.69,0.24509709367430943,0.8353146623923238
-0.68,0.24825223045357053,0.8277813910024648
-0.67,0.2514288950953102,0.8202797787615437
-0.66,0.2546269146713361,0.8128100400880908
-0.65,0.2578461108058646,0.8053723876441025
-0.64,0.26108629969286157,0.7979670322806508
-0.63,0.2643472921156774,0.7905941829836779
-0.62,0.267628893468983,0.7832540468199953
-0.61,0.2709309037830056,0.7759468288835196
-0.60,0.27425311775007355,0.7686727322417556
-0.59,0.2775953247534648,0.7614319578825621
-0.58,0.2809573088985643,0.7542247046612133
-0.57,0.28433884904632406,0.7470511692477876
-0.56,0.28773971884902705,0.7399115460748975
-0.55,0.29115968678834625,0.7328060272857937
-0.54,0.294598516215698,0.7257348026828565
-0.53,0.29805596539487633,0.7186980596765074
-0.52,0.3015317875469662,0.7116959832345522
-0.51,0.30502573089751933,0.704728755831991
-0.50,0.3085375387259869,0.6977965574013061
-0.49,0.31206694941739044,0.6908995652832586
-0.48,0.31561369651622256,0.6840379541782102
-0.47,0.3191775087825558,0.6772118960979997
-0.46,0.32275811025034773,0.6704215603183847
-0.45,0.32635522028791997,0.6636671133320841
-0.44,0.32996855366059363,0.656948718802431
-0.43,0.3335978205954576,0.6502665375176668
-0.42,0.3372427268482495,0.643620727345889
-0.41,0.34090297377232254,0.6370114431906839
-0.40,0.3445782583896757,0.6304388369474532
-0.39,0.34826827346401756,0.6239030574604656
-0.38,0.3519727075758371,0.6174042504806481
-0.37,0.3556912451994532,0.6109425586241358
-0.36,0.3594235667820086,0.6045181213316055
-0.35,0.3631693488243809,0.5981310748284047
-0.34,0.3669282639639718,0.5917815520855036
-0.33,0.37069998105934643,0.5854696827812804
-0.32,0.3744841652766798,0.5791955932641644
-0.31,0.3782804781779807,0.572959406516151
-0.30,0.38208857781104727,0.5667612421172101
-0.29,0.38590811880112263,0.5606012162105984
-0.28,0.3897387524442027,0.5544794414691019
-0.27,0.3935801268019605,0.5483960270622135
-0.26,0.3974318867982394,0.542351078624274
-0.25,0.4012936743170763,0.5363446982235802
-0.24,0.4051651283022041,0.5303769843324853
-0.23,0.40904588485799415,0.5244480317984972
-0.22,0.4129355773517853,0.5185579318163978
-0.21,0.41683383651755773,0.5127067719013872
-0.20,0.4207402905608969,0.5068946358632767
-0.19,0.42465456526520456,0.5011216037817322
-0.18,0.4285762840990992,0.4953877519825911
-0.17,0.4325050683249616,0.4896931530152537
-0.16,0.4364405371085671,0.4840378756311702
-0.15,0.44038230762975733,0.4784219847634255
-0.14,0.44432999519409355,0.47284554150743824
-0.13,0.44828321334543875,0.46730860310278055
-0.12,0.4522415739794161,0.4618112229161262
-0.11,0.45620468745768306,0.45635345042534087
-0.10,0.46017216272297096,0.45093533120471474
-0.09,0.46414360741482774,0.445556906911354
-0.08,0.4681186279860126,0.4402182152727279
-0.07,0.47209682981947876,0.43491929007538765
-0.06,0.4760778173458931,0.4296601611548534
-0.05,0.4800611941616274,0.42444085438668283
-0.04,0.4840465631471692,0.4192613916787183
